{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39788 6379 6 4 240 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 48478 53 17 1 80 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 40997 17 1 292 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 51506 53 17 1 80 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 51506 17 1 292 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39790 6379 6 4 240 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39792 6379 6 4 240 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 34184 53 17 1 80 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39791 6379 6 4 240 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 55755 53 17 1 80 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 54937 53 17 1 80 1569601284 1569601343 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601284000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39793 6379 6 4 240 1569601284 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 37993 53 17 1 80 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 52780 17 1 292 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39795 6379 6 4 240 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39797 6379 6 4 240 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 36594 53 17 1 80 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 36594 17 1 292 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39798 6379 6 4 240 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39794 6379 6 4 240 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39796 6379 6 4 240 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 52780 53 17 1 80 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 45273 17 1 292 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 42172 17 1 292 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 42172 53 17 1 80 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 45273 53 17 1 80 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 39042 53 17 1 80 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 37993 17 1 292 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 39042 17 1 292 1569601344 1569601403 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601344000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39799 6379 6 4 240 1569601344 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 51620 53 17 1 80 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 44342 17 1 292 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 44342 53 17 1 80 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.21.210.146 123 123 17 1 76 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 47586 17 1 292 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 41441 17 1 292 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 49399 53 17 1 80 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 41441 53 17 1 80 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.21.210.146 172.22.4.87 123 123 17 1 76 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 51620 17 1 292 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 48197 53 17 1 80 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 49399 17 1 292 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.24.198.174 47586 53 17 1 80 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39803 6379 6 4 240 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39801 6379 6 4 240 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.22.4.87 172.20.193.231 39802 6379 6 4 240 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
{'timestamp': 1569601404000, 'message': '2 858737304353 eni-06ed5423 172.24.198.174 172.22.4.87 53 48197 17 1 292 1569601404 1569601463 ACCEPT OK', 'ingestionTime': 1569601834012, 'hostname': 'pricing49-pricing-1'}
