{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 54.239.28.168 172.24.5.198 443 33382 6 28 19372 1569792303 1569792410 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 54.239.28.168 33382 443 6 19 3262 1569792303 1569792471 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 54.239.28.168 33384 443 6 18 3078 1569792303 1569792471 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 13.77.69.154 54386 443 6 11 3143 1569792303 1569792471 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792303000, 'message': '2 926668386439 eni-028f9998471142aba 13.77.69.154 172.24.5.198 443 54386 6 6 967 1569792303 1569792471 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792355000, 'message': '2 926668386439 eni-028f9998471142aba 172.21.210.146 172.24.5.198 123 39191 17 1 76 1569792355 1569792410 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792355000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.20.196.146 35716 123 17 1 76 1569792355 1569792410 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792355000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.21.210.146 39191 123 17 1 76 1569792355 1569792410 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792355000, 'message': '2 926668386439 eni-028f9998471142aba 172.20.196.146 172.24.5.198 123 35716 17 1 76 1569792355 1569792410 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792474000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 64.62.190.177 41683 123 17 1 76 1569792474 1569792531 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
