{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 46695 17 1 292 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 36564 17 1 291 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 34163 17 1 288 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 49254 53 17 1 72 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 49254 17 1 291 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 36349 53 17 1 72 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 36799 17 1 288 1569831755 1569831815 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831755000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.20.193.231 47099 6379 6 4 240 1569831755 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 55710 17 1 163 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 44840 53 17 1 73 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 43681 17 1 292 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 52107 53 17 1 80 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 43647 17 1 291 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 51030 53 17 1 72 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 42073 17 1 291 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 58008 17 1 288 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.23.20.167 172.24.198.174 33996 53 17 1 72 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
{'timestamp': 1569831815000, 'message': '2 858737304353 eni-bc82fa93 172.24.198.174 172.23.20.167 53 33996 17 1 291 1569831815 1569831875 ACCEPT OK', 'ingestionTime': 1569831989629, 'hostname': 'orc-be'}
