{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.24.198.174 61196 53 17 1 80 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.24.195.201 49530 88 6 6 1840 1569824545 1569824604 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 49155 58571 6 272 163635 1569824545 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58571 49155 6 222 38273 1569824545 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58596 49155 6 72 12341 1569824545 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824545000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 49155 58596 6 90 64219 1569824545 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.198.174 172.24.33.13 53 52404 17 1 336 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.20.193.99 172.24.33.13 36092 161 17 4 300 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.198.174 172.24.33.13 53 60020 17 1 313 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 10.45.2.150 49538 443 6 3 152 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 52.94.235.158 172.24.33.13 443 49537 6 19 6832 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.24.198.174 60020 53 17 1 80 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.24.198.174 65475 53 17 1 80 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 135 58614 6 14 2384 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
