{'timestamp': 1569799374000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 7216 17 1 296 1569799374 1569799433 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799374000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 43355 53 17 1 61 1569799374 1569799433 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799374000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 12900 53 17 1 61 1569799374 1569799433 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799374000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 32739 53 17 1 61 1569799374 1569799433 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799434000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 14007 53 17 1 61 1569799434 1569799493 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799434000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 14007 17 1 296 1569799434 1569799493 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799434000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 48156 17 1 296 1569799434 1569799493 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799434000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 54500 17 1 296 1569799434 1569799493 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799434000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 32969 17 1 296 1569799434 1569799493 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799434000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 54500 53 17 1 61 1569799434 1569799493 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799434000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 48156 53 17 1 61 1569799434 1569799493 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799434000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 32969 53 17 1 61 1569799434 1569799493 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799494000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 22743 53 17 1 61 1569799494 1569799553 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799494000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 22743 17 1 296 1569799494 1569799553 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
