{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 1434 17 1 29 1569716605 1569716663 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 3129 17 3 87 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 1011 17 2 58 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 2801 17 3 87 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 3283 17 2 60 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 5402 17 2 58 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.23.25.179 172.20.219.206 0 0 1 184 14521 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 2967 17 2 58 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 1047 17 2 58 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
{'timestamp': 1569716605000, 'message': '2 858737304353 eni-d7527598 172.20.219.206 172.23.25.179 49880 40426 17 2 58 1569716605 1569716783 ACCEPT OK', 'ingestionTime': 1569717183200, 'hostname': 'marketing-haarp-1'}
