{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55635 6 7 391 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55722 6557 6 6 749 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.193.1 6557 54588 6 7 391 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55674 6 6 339 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55679 6 6 440 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 54600 6557 6 6 569 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.193.1 6557 54533 6 7 391 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.193.1 6557 54555 6 7 391 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55668 6 6 440 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.198.174 172.24.225.111 53 59577 17 1 288 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.193.1 6557 54577 6 6 339 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.24.198.174 49549 53 17 2 158 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 55660 6557 6 6 822 1569835197 1569835256 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 0 0 1 12 1008 1569835197 1569835616 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 0 0 1 12 1008 1569835197 1569835616 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 3.130.247.210 57500 443 6 14 4445 1569835197 1569835616 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.20.192.222 172.24.225.111 0 0 1 12 1008 1569835197 1569835616 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.193.1 0 0 1 12 1008 1569835197 1569835616 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835197000, 'message': '2 647523064133 eni-d3d741c8 3.130.247.210 172.24.225.111 443 57500 6 7 2807 1569835197 1569835616 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835258000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.24.198.174 36178 53 17 2 158 1569835258 1569835316 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835258000, 'message': '2 647523064133 eni-d3d741c8 172.24.198.174 172.24.225.111 53 44197 17 2 401 1569835258 1569835316 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835258000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55759 6 6 440 1569835258 1569835316 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835258000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.193.1 6557 54659 6 6 339 1569835258 1569835316 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835258000, 'message': '2 647523064133 eni-d3d741c8 172.24.198.174 172.24.225.111 53 45240 17 1 288 1569835258 1569835316 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835258000, 'message': '2 647523064133 eni-d3d741c8 172.24.225.111 172.20.192.222 6557 55778 6 7 391 1569835258 1569835316 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
{'timestamp': 1569835258000, 'message': '2 647523064133 eni-d3d741c8 172.20.193.1 172.24.225.111 54707 6557 6 7 1771 1569835258 1569835316 ACCEPT OK', 'ingestionTime': 1569835849422, 'hostname': 'aws-nagios-1'}
