{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42446 6 6 678 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 38893 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 59357 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 45692 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42367 80 6 7 523 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42259 6 6 628 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42256 6 8 4162 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 50113 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42231 80 6 7 498 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 54499 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 41680 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42167 80 6 7 498 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42405 6 10 7274 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 56618 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42431 80 6 6 503 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42215 6 6 628 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 39921 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42289 6 6 628 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 51287 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42196 80 6 7 499 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42416 6 6 683 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42396 80 6 7 521 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 52892 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 49385 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42245 6 6 628 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 48472 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42342 80 6 7 499 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 34893 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42256 80 6 7 498 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42203 80 6 6 446 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42464 80 6 7 573 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42271 6 6 628 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42257 80 6 7 498 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 39715 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 51899 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42204 6 8 4182 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42463 80 6 15 970 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42281 80 6 7 498 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42405 80 6 7 522 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42457 6 12 9967 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.24.198.174 172.23.25.241 53 47319 17 2 399 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.20.192.80 42202 80 6 7 499 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.20.192.80 172.23.25.241 80 42402 6 6 651 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
{'timestamp': 1569838925000, 'message': '2 858737304353 eni-28aa0b61 172.23.25.241 172.24.198.174 53361 53 17 2 156 1569838925 1569838984 ACCEPT OK', 'ingestionTime': 1569839213110, 'hostname': 'pldevops01'}
