{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 50706 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51532 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51642 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 51154 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 53594 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 52478 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 51994 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 51624 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 53278 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 162.247.242.5 54107 443 6 8 1638 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52572 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52992 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51422 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51868 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 52046 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51842 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 50912 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 10.45.2.150 54109 443 6 2 104 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 51024 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.192.200 172.24.195.201 53 51814 17 1 395 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51484 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52398 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 53934 6 1 60 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 54054 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52418 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 52660 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 52874 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51308 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 52478 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.219.200 59098 514 17 1 237 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 53688 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 53544 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 51232 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 50744 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 51922 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51348 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 50734 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 162.247.242.5 172.24.195.201 443 54108 6 10 3517 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 50960 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51454 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 52198 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 53236 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.195.201 172.20.213.69 389 53258 6 3 152 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 51800 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.20.213.69 172.24.195.201 53092 389 6 3 164 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
{'timestamp': 1569837404000, 'message': '2 647523064133 eni-8043a0c1 172.24.198.174 172.24.195.201 16637 53 17 1 100 1569837404 1569837463 ACCEPT OK', 'ingestionTime': 1569837476379, 'hostname': 'pwawsdc01'}
