{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.213 172.24.32.195 39338 443 6 26 2608 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47676 443 6 20 2344 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.198.174 172.24.32.195 53 51717 17 2 441 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 52.94.227.239 172.24.32.195 443 51146 6 15 6443 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47690 443 6 48 3560 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47664 443 6 28 2456 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816610000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47676 6 23 9886 1569816610 1569816621 ACCEPT OK', 'ingestionTime': 1569816656088, 'hostname': 'plnasgit'}
{'timestamp': 1569816620000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.213 172.24.32.195 39968 443 6 27 2416 1569816620 1569816632 ACCEPT OK', 'ingestionTime': 1569816669072, 'hostname': 'plnasgit'}
{'timestamp': 1569816620000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.213 443 39634 6 17 8378 1569816620 1569816632 ACCEPT OK', 'ingestionTime': 1569816669072, 'hostname': 'plnasgit'}
{'timestamp': 1569816620000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47672 443 6 24 2120 1569816620 1569816632 ACCEPT OK', 'ingestionTime': 1569816669072, 'hostname': 'plnasgit'}
{'timestamp': 1569816620000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47674 6 23 9886 1569816620 1569816632 ACCEPT OK', 'ingestionTime': 1569816669072, 'hostname': 'plnasgit'}
