{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 36328 53 17 1 62 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 16114 53 17 1 62 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 49542 53 17 1 62 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576605000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 16878 53 17 1 62 1569576605 1569576663 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576672000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 30525 53 17 1 62 1569576672 1569576723 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576672000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 30525 17 1 250 1569576672 1569576723 ACCEPT OK', 'ingestionTime': 1569576741383, 'hostname': 'naaws_01'}
{'timestamp': 1569576730000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 216.240.21.18 16583 443 6 18 7912 1569576730 1569576783 ACCEPT OK', 'ingestionTime': 1569577341266, 'hostname': 'naaws_01'}
{'timestamp': 1569576730000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 24554 17 1 307 1569576730 1569576783 ACCEPT OK', 'ingestionTime': 1569577341266, 'hostname': 'naaws_01'}
{'timestamp': 1569576730000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 24554 53 17 1 64 1569576730 1569576783 ACCEPT OK', 'ingestionTime': 1569577341266, 'hostname': 'naaws_01'}
{'timestamp': 1569576730000, 'message': '2 926668386439 eni-0a7210166edf5e88c 216.240.21.18 172.24.7.96 443 16583 6 22 9915 1569576730 1569576783 ACCEPT OK', 'ingestionTime': 1569577341266, 'hostname': 'naaws_01'}
{'timestamp': 1569576730000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.7.96 172.24.198.174 61177 53 17 1 64 1569576730 1569576783 ACCEPT OK', 'ingestionTime': 1569577341266, 'hostname': 'naaws_01'}
{'timestamp': 1569576730000, 'message': '2 926668386439 eni-0a7210166edf5e88c 172.24.198.174 172.24.7.96 53 61177 17 1 319 1569576730 1569576783 ACCEPT OK', 'ingestionTime': 1569577341266, 'hostname': 'naaws_01'}
