{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 38144 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 172.24.198.174 42881 53 17 1 68 1569833788 1569833844 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 162.247.242.5 172.24.225.60 443 33369 6 13 3793 1569833788 1569833904 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 162.247.242.5 172.24.225.60 443 33365 6 13 3793 1569833788 1569833904 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 162.247.242.5 33365 443 6 13 2060 1569833788 1569833904 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 162.247.242.5 33370 443 6 17 6091 1569833788 1569833904 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 162.247.242.5 172.24.225.60 443 33366 6 16 3949 1569833788 1569833904 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 162.247.242.5 33367 443 6 13 2071 1569833788 1569833904 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 172.24.225.60 162.247.242.5 33368 443 6 12 2004 1569833788 1569833904 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
{'timestamp': 1569833788000, 'message': '2 647523064133 eni-fa9802e0 162.247.242.5 172.24.225.60 443 33367 6 13 3789 1569833788 1569833904 ACCEPT OK', 'ingestionTime': 1569834190352, 'hostname': 'plawshaarp'}
