{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.21.192.45 172.24.0.220 45453 1433 6 17 1064 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.66 172.24.0.220 55836 1433 6 31 1960 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.89 172.24.0.220 56176 1433 6 19 1192 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.62 1433 45478 6 26 1508 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.95 1433 53688 6 16 678 1569828964 1569829443 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.94 1433 52082 6 18 760 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.51 1433 59486 6 24 1258 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.51 1433 60870 6 21 967 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.94 172.24.0.220 51120 1433 6 25 1576 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.51 172.24.0.220 59486 1433 6 30 1896 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.62 172.24.0.220 47606 1433 6 25 1576 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.94 172.24.0.220 52286 1433 6 22 1384 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.62 1433 47606 6 21 1051 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.94 1433 52286 6 20 926 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.89 172.24.0.220 57250 1433 6 25 1588 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.24.0.220 172.20.213.95 1433 56128 6 24 1258 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
{'timestamp': 1569828964000, 'message': '2 926668386439 eni-18db5259 172.20.213.94 172.24.0.220 52082 1433 6 18 1128 1569828964 1569829503 ACCEPT OK', 'ingestionTime': 1569829598249, 'hostname': 'dwawsmars01'}
