{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1130 48315 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2787 48857 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6521 36244 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5088 60478 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5362 5013 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4940 9448 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 451 55888 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1560 28149 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6319 49736 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4723 10974 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1986 3288 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5159 30037 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6329 5291 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2663 26550 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3512 23957 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4252 31169 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
