{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 58074 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 33393 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 33137 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 33150 17 2 292 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56010 80 6 7 498 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56139 80 6 9 621 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56074 6 6 678 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56085 6 15 13425 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 50080 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56304 80 6 6 474 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56014 6 6 628 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56180 6 6 647 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
