{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.119 7472 35542 6 28 15616 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.20.209.101 172.23.25.159 41582 7472 6 28 15712 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804128000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.20.209.101 7472 41582 6 28 15584 1569804128 1569804608 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804308000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.24.198.174 52939 53 17 2 166 1569804308 1569804368 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804308000, 'message': '2 858737304353 eni-b7f84bfb 172.24.198.174 172.23.25.159 53 55380 17 1 291 1569804308 1569804368 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804308000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.24.198.174 57396 53 17 2 166 1569804308 1569804368 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804308000, 'message': '2 858737304353 eni-b7f84bfb 172.24.198.174 172.23.25.159 53 57396 17 2 409 1569804308 1569804368 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804308000, 'message': '2 858737304353 eni-b7f84bfb 172.24.198.174 172.23.25.159 53 52939 17 2 409 1569804308 1569804368 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804308000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.24.198.174 55380 53 17 1 72 1569804308 1569804368 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804488000, 'message': '2 858737304353 eni-b7f84bfb 172.24.198.174 172.23.25.159 53 40055 17 2 409 1569804488 1569804548 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804488000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.24.198.174 49935 53 17 1 72 1569804488 1569804548 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804488000, 'message': '2 858737304353 eni-b7f84bfb 172.24.198.174 172.23.25.159 53 33723 17 2 409 1569804488 1569804548 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
{'timestamp': 1569804488000, 'message': '2 858737304353 eni-b7f84bfb 172.23.25.159 172.24.198.174 40055 53 17 2 166 1569804488 1569804548 ACCEPT OK', 'ingestionTime': 1569804619429, 'hostname': 'skybot01-haarp-1'}
