{'timestamp': 1569693001000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 54302 6 6 362 1569693001 1569693061 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693001000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 54302 389 6 8 840 1569693001 1569693061 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693065000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.21.210.146 123 123 17 1 76 1569693065 1569693121 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693065000, 'message': '2 858737304353 eni-d90985f5 172.21.210.146 172.22.7.248 123 123 17 1 76 1569693065 1569693121 ACCEPT OK', 'ingestionTime': 1569693156196, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693125000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 18.189.137.248 39605 443 6 20 6350 1569693125 1569693721 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693125000, 'message': '2 858737304353 eni-d90985f5 18.189.137.248 172.22.7.248 443 39605 6 10 4010 1569693125 1569693721 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693125000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 39681 25672 6 588 32932 1569693125 1569693721 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693125000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 25672 39681 6 586 368498 1569693125 1569693721 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693302000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 40551 6 6 362 1569693302 1569693361 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693302000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 43734 389 6 8 882 1569693302 1569693361 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693302000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 40551 389 6 8 840 1569693302 1569693361 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693302000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 43734 6 6 487 1569693302 1569693361 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693362000, 'message': '2 858737304353 eni-d90985f5 172.20.192.187 172.22.7.248 8027 46632 6 2 104 1569693362 1569693421 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693362000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.187 46632 8027 6 2 104 1569693362 1569693421 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693362000, 'message': '2 858737304353 eni-d90985f5 172.20.192.187 172.22.7.248 8027 46633 6 2 112 1569693362 1569693421 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693362000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 57995 17 1 278 1569693362 1569693421 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693362000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 44443 17 1 137 1569693362 1569693421 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693362000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 57995 53 17 1 86 1569693362 1569693421 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693362000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 44443 53 17 1 86 1569693362 1569693421 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693362000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.187 46633 8027 6 3 286 1569693362 1569693421 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 53111 53 17 1 81 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 44466 17 1 165 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.20.192.187 172.22.7.248 8383 42680 6 1 40 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 48525 17 1 137 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 54779 389 6 8 882 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 55441 53 17 1 106 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 53165 17 1 165 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.187 42680 8383 6 1 60 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 34008 17 1 262 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 48201 53 17 1 86 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 50893 17 1 161 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 43910 17 1 132 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 50893 53 17 1 102 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 52814 6 6 362 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 48525 53 17 1 78 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 47570 53 17 1 110 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 34553 53 17 1 102 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.6.105 172.22.7.248 52814 389 6 8 840 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.20.192.187 172.22.7.248 8383 42678 6 1 40 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 43910 53 17 1 81 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 55441 17 1 165 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 34553 17 1 161 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 52184 17 1 165 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.20.192.187 172.22.7.248 8383 42677 6 1 40 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.187 42677 8383 6 1 60 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.187 42678 8383 6 1 60 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 53165 53 17 1 106 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.20.192.187 42679 8383 6 1 60 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 44466 53 17 1 106 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 44137 53 17 1 86 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 53111 17 1 132 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 44137 17 1 137 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.22.6.105 389 54779 6 6 487 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.20.192.187 172.22.7.248 8383 42679 6 1 40 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 52184 53 17 1 106 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 40750 53 17 1 110 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 47570 17 1 161 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.22.7.248 172.24.198.174 34008 53 17 1 78 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
{'timestamp': 1569693602000, 'message': '2 858737304353 eni-d90985f5 172.24.198.174 172.22.7.248 53 40750 17 1 161 1569693602 1569693661 ACCEPT OK', 'ingestionTime': 1569693756173, 'hostname': 'qlawsrmq01'}
