{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 40840 53 17 2 178 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 54740 53 17 2 178 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.20.192.26 172.24.98.145 389 45012 6 5 300 1569764533 1569764565 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.227.218 33045 389 6 8 774 1569764533 1569764865 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764533000, 'message': '2 693538057230 eni-7bbc845c 172.24.227.218 172.24.98.145 389 33045 6 5 1072 1569764533 1569764865 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764584000, 'message': '2 693538057230 eni-7bbc845c 172.21.205.51 172.24.98.145 37369 135 6 1 60 1569764584 1569764625 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764584000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.21.205.51 135 37369 6 1 40 1569764584 1569764625 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 53998 53 17 1 80 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 56576 53 17 1 72 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 56803 53 17 1 73 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 35993 17 1 132 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 56576 17 1 288 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.192.212 53793 25 6 5 300 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 35993 53 17 1 73 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 53998 17 1 264 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 56803 17 1 257 1569764713 1569764745 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
