{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64018 20671 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62772 54733 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63627 4178 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64340 29972 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63102 44978 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62895 9118 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65377 1821 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63292 46346 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64855 30413 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62821 63605 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64798 39799 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64234 46164 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63367 7255 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64862 4887 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64712 60041 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64662 59367 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63438 49707 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62947 59222 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63581 38814 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64319 13580 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63471 45421 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65395 6495 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 76 711 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65391 54162 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63007 30863 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63640 46098 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62754 55804 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64599 14792 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65508 493 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63807 46051 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64784 57224 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63389 36457 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 64591 64528 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 65441 6147 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 63101 53586 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
{'timestamp': 1569821158000, 'message': '2 693538057230 eni-05822d20 64.39.99.27 172.24.116.216 62833 58748 6 1 44 1569821158 1569821218 REJECT OK', 'ingestionTime': 1569821613686, 'hostname': 'NAT-1C'}
