{'timestamp': 1569601551000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 54171 17 4 554 1569601551 1569601782 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601551000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 54171 53 17 4 286 1569601551 1569601782 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 40932 17 2 282 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 45952 17 2 272 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 51920 53 17 2 160 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 39648 17 2 282 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 46018 53 17 2 122 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 45952 53 17 2 122 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 47270 53 17 1 85 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 40932 53 17 2 164 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 39648 53 17 2 164 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 51920 17 2 473 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 47270 17 1 277 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601611000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 46018 17 2 272 1569601611 1569601662 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.20.192.27 54038 389 6 7 941 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 58749 53 17 2 148 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 51953 17 2 282 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 34817 17 2 282 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 49579 17 2 473 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 38020 53 17 2 122 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 41054 17 2 272 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
